exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints,targeted_structure,mlp_orientation_accs,mlp_temp_freq_accs
680156911,377111,Slc17a7-IRES2-Cre,175,628,337,56626,VISp,85.92499999999990,67.09166666666660
591460070,305467,Rorb-IRES2-Cre,275,628,207,56770,VISal,76.14166666666660,52.875
638262558,337438,Nr5a1-Cre,350,628,5,56628,VISam,16.816666666666700,27.641666666666700
662358771,361636,Slc17a7-IRES2-Cre,175,628,56,58289,VISl,50.79166666666670,34.375000000000000
562052595,280643,Emx1-IRES-Cre,175,628,152,56746,VISal,65.42500000000000,39.725
572722662,291865,Rbp4-Cre_KL100,375,628,7,56762,VISal,39.183333333333300,33.05833333333330
623347352,335660,Fezf2-CreER,400,628,52,58282,VISp,43.20000000000000,45.45000000000000
539487468,250606,Nr5a1-Cre,335,628,81,56753,VISp,33.54166666666670,39.65833333333340
604145810,323984,Ntsr1-Cre_GN220,550,628,48,56610,VISp,78.36666666666670,55.85000000000000
661437140,365251,Slc17a7-IRES2-Cre,175,628,86,56753,VISp,70.90000000000000,62.33333333333330
662348804,356797,Slc17a7-IRES2-Cre,275,628,189,56763,VISl,82.46666666666660,66.20000000000000
606802468,326489,Vip-IRES-Cre,175,628,15,56759,VISl,17.866666666666700,34.85833333333330
670395725,370773,Ntsr1-Cre_GN220,625,628,52,56764,VISl,71.95833333333330,59.68333333333330
612044635,332395,Sst-IRES-Cre,265,628,8,56756,VISp,46.57500000000000,46.050000000000000
710778377,388801,Pvalb-IRES-Cre,375,628,10,56626,VISp,24.250000000000000,45.59166666666670
552760671,268133,Rorb-IRES2-Cre,275,628,150,56754,VISam,50.35833333333330,32.30833333333330
601887677,312763,Rbp4-Cre_KL100,375,628,40,56619,VISl,47.96666666666670,50.15833333333340
552427971,265161,Rorb-IRES2-Cre,275,628,121,56613,VISl,89.05000000000000,50.025000000000000
571642389,286360,Nr5a1-Cre,350,628,220,56780,VISrl,12.766666666666700,23.158333333333300
565698388,277938,Nr5a1-Cre,320,628,4,56743,VISam,17.291666666666700,26.40000000000000
657391625,357093,Tlx3-Cre_PL56,375,628,275,56610,VISl,91.125,81.15000000000000
688678766,371307,Slc17a7-IRES2-Cre,205,628,475,56776,VISp,93.77500000000000,61.53333333333330
510517131,229106,Cux2-CreERT2,175,628,266,56619,VISp,65.60833333333330,55.36666666666670
506823562,229109,Cux2-CreERT2,275,628,293,56745,VISl,70.43333333333340,45.51666666666670
569299884,283147,Emx1-IRES-Cre,375,628,64,56741,VISal,47.30000000000000,44.99166666666670
553568031,268133,Rorb-IRES2-Cre,275,628,217,56763,VISrl,52.85,27.825000000000000
583279803,300657,Vip-IRES-Cre,175,628,11,56759,VISp,16.733333333333300,32.075
580163817,297507,Sst-IRES-Cre,375,628,7,56746,VISp,30.691666666666700,27.391666666666700
663876406,365255,Slc17a7-IRES2-Cre,175,628,68,58258,VISpm,50.70833333333340,40.55833333333330
501021421,221470,Scnn1a-Tg3-Cre,350,628,150,56606,VISp,41.65000000000000,46.92500000000000
595718342,312765,Rbp4-Cre_KL100,375,628,21,56616,VISrl,22.00833333333330,29.008333333333300
653125130,354498,Slc17a7-IRES2-Cre,175,628,224,56614,VISp,82.52499999999990,68.85833333333330
716956096,390323,Cux2-CreERT2,275,628,85,56760,VISpm,27.408333333333300,50.46666666666660
611658482,325006,Fezf2-CreER,375,628,105,58290,VISl,66.40000000000000,61.275000000000000
674276329,369495,Pvalb-IRES-Cre,275,628,8,58290,VISl,17.63333333333330,32.7
652842572,355470,Slc17a7-IRES2-Cre,175,628,244,56618,VISp,76.58333333333330,55.091666666666700
689388034,377129,Ntsr1-Cre_GN220,550,628,147,56614,VISp,78.12500000000000,57.075000000000000
511440894,233442,Rbp4-Cre_KL100,375,628,57,56747,VISal,41.83333333333330,42.05833333333330
